地区编码,市区,县区,经度,纬度
430101,长沙市,市辖区,112.93,28.23
430102,长沙市,芙蓉区,113.03,28.18
430103,长沙市,天心区,112.98,28.12
430104,长沙市,岳麓区,112.93,28.23
430105,长沙市,开福区,112.98,28.25
430111,长沙市,雨花区,113.03,28.13
430112,长沙市,望城区,113.07,28.25
430121,长沙市,长沙县,112.82,28.37
430124,长沙市,宁乡县,112.55,28.25
430181,长沙市,浏阳市,113.63,28.15
430201,株洲市,市辖区,113.13,27.83
430202,株洲市,荷塘区,113.17,27.87
430203,株洲市,芦淞区,113.15,27.83
430204,株洲市,石峰区,113.1,27.87
430211,株洲市,天元区,113.12,27.83
430221,株洲市,株洲县,113.13,27.72
430223,株洲市,攸县,113.33,27
430224,株洲市,茶陵县,113.53,26.8
430225,株洲市,炎陵县,113.77,26.48
430281,株洲市,醴陵市,113.48,27.67
430301,湘潭市,市辖区,112.93,27.83
430302,湘潭市,雨湖区,112.9,27.87
430304,湘潭市,岳塘区,112.95,27.87
430321,湘潭市,湘潭县,112.95,27.78
430381,湘潭市,湘乡市,112.53,27.73
430382,湘潭市,韶山市,112.52,27.93
430401,衡阳市,市辖区,112.57,26.9
430405,衡阳市,珠晖区,112.62,26.9
430406,衡阳市,雁峰区,112.6,26.88
430407,衡阳市,石鼓区,112.6,26.9
430408,衡阳市,蒸湘区,112.6,26.9
430412,衡阳市,南岳区,112.73,27.25
430421,衡阳市,衡阳县,112.37,26.97
430422,衡阳市,衡南县,112.67,26.73
430423,衡阳市,衡山县,112.87,27.23
430424,衡阳市,衡东县,112.95,27.08
430426,衡阳市,祁东县,112.12,26.78
430481,衡阳市,耒阳市,112.85,26.42
430482,衡阳市,常宁市,112.38,26.42
430501,邵阳市,市辖区,111.47,27.25
430502,邵阳市,双清区,111.47,27.23
430503,邵阳市,大祥区,111.45,27.23
430511,邵阳市,北塔区,111.45,27.25
430521,邵阳市,邵东县,111.75,27.25
430522,邵阳市,新邵县,111.45,27.32
430523,邵阳市,邵阳县,111.27,27
430524,邵阳市,隆回县,111.03,27.12
